,Products Name,Prices,Descriptions,Reviews
0,"IQOO 15R 5G (Dark Knight, 256 GB)","? 47,899.00",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP Rear Camera7600 mAh Battery12 Months Brand Warranty,4.6
1,"OnePlus Nord 6 (Pitch Black, 256 GB)","? 49,328.00","12 GB RAM | 256 GB ROM | Expandable Upto 256 GB17.22 cm (6.78 inch) Full HD+ Display50MP Rear Camera9000 mAh Battery4 octa-core processor Processorone-year limited warranty starting from the date of delivery, covering manufacturing defects in materials and workmanship",4.7
2,"Samsung Galaxy S24 5G Snapdragon (Amber Yellow, 128 GB)","? 49,999.00",8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 12MP Front Camera4000 mAh Battery8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
3,"IQOO 15R 5G (Triumph Silver, 256 GB)","? 47,300.00",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP Rear Camera7600 mAh Battery12 Months Brand Warranty,4.6
4,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 128 GB)","? 49,999.00",8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 12MP Front Camera4000 mAh Battery8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
5,"OPPO Reno15 5G (Twilight Blue, 256 GB)","? 47,999.00",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Full HD+ Display50MP + 50MP + 8MP | Yes6500 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
6,"OnePlus 12 (Glacial White, 256 GB)","? 49,990.00",12 GB RAM | 256 GB ROM17.32 cm (6.82 inch) Full HD+ AMOLED Display50MP Rear Camera5400 mAh BatteryQualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm) Processor1 Year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,4.6
7,"MOTOROLA edge 70 pro (Marble - PANTONE Lily white (white), 256 GB)","? 42,999.00",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ Super AMOLED Display50MP + 50MP | 50MP Front Camera6500 mAh Silicon-Carbon BatteryDimensity 8500 Extreme Processor1 Year on Handset and 6 Months on Accessories,4.3
8,"realme Gt 7 (Icesense Black, 512 GB)","? 41,999.00","12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera7000 mAh BatteryDimensity ProcessorPhone, Power Adapter, SIM Tray Ejector, Phone Case, USB Cable",4.4
9,"OPPO Reno14 5G (Pearl White, 256 GB)","? 42,999.00",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
10,"OPPO Reno15c 5G (Twilight Blue, 256 GB)","? 41,999.00",8 GB RAM | 256 GB ROM16.69 cm (6.57 inch) Full HD+ Display50MP + 8MP + 2MP | Yes7000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
11,"OnePlus Nord CE6 (Pitch Black, 256 GB)","? 36,164.00",8 GB RAM | 256 GB ROM | Expandable Upto 256 GB17.22 cm (6.78 inch) Full HD+ Display50MP Rear Camera | 2MP Front Camera8000 mAh BatteryQualcomm® Snapdragon™ 7s Gen 4 Processorone year of handset six month of accessories,4.3
12,"Samsung Galaxy A37 5G (Awesome Charcoal, 128 GB)","? 41,999.00",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Full HD+ Super AMOLED Display50MP + 8MP | 12MP Front Camera5000 mAh Li-ion BatteryExynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3
13,"Google Pixel 10a (Fog, 256 GB)","? 49,999.00",8 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Full HD+ AMOLED Display48MP + 13MP | 13MP Front Camera5100 mAh Lithium BatteryTensor G4 Processor1 year domestic warranty,4.5
14,"OPPO Reno14 5G (Forest Green, 512 GB)","? 47,999.00",12 GB RAM | 512 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
15,"OPPO Reno15c 5G (Afterglow Pink, 256 GB)","? 44,999.00",12 GB RAM | 256 GB ROM16.69 cm (6.57 inch) Full HD+ Display50MP + 8MP + 2MP | Yes7000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
16,"MOTOROLA Razr 60 (PANTONE Spring Bud, 256 GB)","? 49,999.00",8 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera4500 mAh BatteryDimensity 7400X Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
17,"vivo V70 (Passion Red, 256 GB)","? 49,999.00",8 GB RAM | 256 GB ROM16.74 cm (6.59 inches) Full HD+ AMOLED Display50MP + 50MP + 8MP | Yes6500 mAh Li-ion battery BatterySnapdragon 7 Gen 4 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.6
18,"OPPO Reno15c 5G (Afterglow Pink, 256 GB)","? 41,999.00",8 GB RAM | 256 GB ROM16.69 cm (6.57 inch) Full HD+ Display50MP + 8MP + 2MP | Yes7000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
19,"REDMI Note 15 Pro + 5G (Mirage Blue, 512 GB)","? 43,593.00",12 GB RAM | 512 GB ROM17.35 cm (6.83 inch) Display200MP Rear Camera6500 mAh Battery12 Months Brand Warranty,4.2
20,"OPPO Reno14 5G (Forest Green, 256 GB)","? 42,999.00",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4
21,"vivo V70 FE (Northern Lights Purple, 256 GB)","? 40,999.00",8 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Full HD+ AMOLED Display200MP + 8MP | 50MP Front Camera7000 mAh Li-ion BatteryDimensity 7360-Turbo Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
22,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","? 49,999.00",8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 12MP Front Camera4000 mAh Battery8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
23,"Google Pixel 10a (Obsidian, 256 GB)","? 49,999.00",8 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Full HD+ AMOLED Display48MP + 13MP | 13MP Front Camera5100 mAh Lithium BatteryTensor G4 Processor1 year domestic warranty,4.5
24,"POCO X8 Pro Max (Black, 512 GB)","? 48,999.00",12 GB RAM | 512 GB ROM17.35 cm (6.83 inch) Full HD+ AMOLED Display50MP + 8MP | 20MP Front Camera9000 mAh Lithium-Ion Polymer With Silicon Carbon Technology BatteryDimensity 9500s Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.5
25,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","? 49,999.00",8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 12MP Front Camera4000 mAh Battery8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.6
26,"IQOO Neo 10 (Alpine White, 256 GB)","? 38,480.00","8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Super AMOLED Display50MP Rear Camera7000 mAh BatteryQualcomm Snapdragon 8s Gen 4 ProcessorDuration: 1 Year for the Device; 6 Months for In-box accessories (Charger, Cable).

Coverage: Manufacturing defects and functional faults.

Replacement Policy: Defective items may be eligible for repair or replacement at an authorized service center.

Software Updates: The device includes 3 years of Android OS updates and 4 years of security patches.

Excluded from Warranty: Damages caused by liquid/moisture entering the device, physical damage, unauthorized repairs, or use of non-original accessories",4.5
27,"Google Pixel 10a (Obsidian, 256 GB)","? 49,999.00",8 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Full HD+ AMOLED Display48MP + 13MP | 13MP Front Camera5100 mAh Lithium BatteryTensor G4 Processor1 year domestic warranty,4.5
28,"realme 16 Pro+ 5G (Master Gold, 256 GB)","? 48,999.00",8 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display200MP + 50MP + 8MP | 50MP Front Camera7000 mAh Battery7 Gen 4 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.5
29,"Nothing Phone (4a) (White, 256 GB)","? 40,999.00",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 50MP + 8MP | 32MP Front Camera5400 mAh Lithium ion BatterySnapdragon 7s Gen 4 Processor1 Year Manufacturing Warranty,4.5
30,"Samsung Galaxy S24 FE 5G (Graphite, 256 GB)","? 45,999.00",8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 8MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5
31,"OPPO Reno14 5G (Forest Green, 256 GB)","? 44,999.00",12 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
32,"OPPO F33 Pro 5G (Passion Red, 256 GB)","? 39,599.00",8 GB RAM | 256 GB ROM16.69 cm (6.57 inch) Full HD+ AMOLED Display50MP + 2MP | 50MP Front Camera7000 mAh lithium-ion polymer BatteryDimensity 6360 MAX Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.3
33,"realme Gt 7 (Icesense Blue, 512 GB)","? 41,999.00",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera7000 mAh BatteryDimensity Processor1 Year manufacturer Warranty for handset & 6 months for accessories,4.4
34,"OnePlus 13R 5g (Astral Trail, 256 GB)","? 44,950.00",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,4.5
35,"OPPO Reno13 5G (Ivory White, 256 GB)","? 40,999.00",8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 2MP | 50MP Front Camera5600 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.4
